id,time,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.other,appCat.social,appCat.travel,circumplex.arousal,circumplex.valence,mood,screen
AS14.03,2014-05-01,0.0787878787878788,5.1165,9.4475,2.154,7.1240000000000006,,3.056,-1.0,1.0,7.0,6.796500086784365
AS14.03,2014-05-02,0.04738393515106855,3.9880000000000004,8.076,3.003,7.3035000000000005,,49.673,-1.0,1.0,8.0,11.335999965667698
AS14.03,2014-05-03,0.0209033613445378,4.0975,6.077500000000001,3.2085,7.0360000000000005,,8.3965,-1.0,1.0,8.0,7.9980001449585
AS14.03,2014-05-04,0.0,3.227,3.154,2.04,9.062000000000001,,,-1.0,1.0,8.0,3.1529998779296897
AS14.03,2014-05-05,0.021972049689441,3.5975,5.053999999999999,1.581,7.056,,65.241,-1.0,1.0,7.0,5.4925000667572
AS14.03,2014-05-06,0.03429855585027995,3.89,7.542000000000001,2.58,,,,,,,8.53900003433228
AS14.03,2014-05-07,0.021933962264150952,5.853,6.42,2.3040000000000003,7.162000000000001,,,-1.0,1.0,8.0,11.365000128746
AS14.03,2014-05-08,0.0,,,,,,,,,,
AS14.05,2014-02-18,,,,,,,,,,,
AS14.05,2014-02-19,,,,,,,,,,,
AS14.05,2014-02-20,,,,,,,,,,,
AS14.05,2014-02-21,,,,,,,,,,,
AS14.05,2014-02-22,,,,,,,,,,,
AS14.05,2014-02-23,,,,,,,,,,,
AS14.05,2014-02-24,,,,,,,,,,,
AS14.05,2014-02-25,,,,,,,,,,,
AS14.05,2014-02-26,,,,,,,,,,,
AS14.05,2014-02-27,,,,,,,,,,,
AS14.05,2014-02-28,,,,,,,,,,,
AS14.05,2014-03-01,,,,,,,,,,,
AS14.05,2014-03-02,,,,,,,,,,,
AS14.05,2014-03-03,,,,,,,,,,,
AS14.05,2014-03-04,,,,,,,,,,,
AS14.05,2014-03-05,,,,,,,,,,,
AS14.05,2014-03-06,,,,,,,,,,,
AS14.05,2014-03-07,,,,,,,,,,,
AS14.05,2014-03-08,,,,,,,,,,,
AS14.05,2014-03-09,,,,,,,,,,,
AS14.05,2014-03-10,,,,,,,,,,,
AS14.05,2014-03-11,,,,,,,,,,,
AS14.05,2014-03-12,,,,,,,,,,,
AS14.05,2014-03-13,,,,,,,,,,,
AS14.05,2014-03-14,,9.043,21.807499999999997,2.12,55.417500000000004,14.671499999999998,,-1.0,2.0,8.0,30.5475000143051
AS14.05,2014-03-15,,8.113999999999999,15.625499999999999,2.0515,15.3275,683.573,,0.0,1.0,6.0,15.3599998950958
AS14.05,2014-03-16,,7.035500000000001,19.034000000000002,2.06,20.1755,,,-1.0,0.0,6.0,13.1290001869202
AS14.05,2014-03-17,0.017022209234365857,10.124,11.126,1.781,3.7965,,,-1.0,0.0,6.0,10.732499957084652
AS14.05,2014-03-18,0.0,6.0520000000000005,15.5675,2.485,12.1235,,,0.5,1.0,7.5,14.6579999923706
AS14.05,2014-03-19,0.0840105648110524,8.2495,21.826,2.0115,11.412,,,1.0,1.0,7.0,15.60949993133545
AS14.05,2014-03-20,0.0760035682426405,5.0595,25.23,2.1855,4.107,,,1.0,1.0,7.0,18.56199991703035
AS14.05,2014-03-21,0.0,5.696000000000001,13.927499999999998,1.727,10.433,,,0.5,1.0,7.0,14.90149998664855
AS14.05,2014-03-22,0.0,6.5205,13.077,2.418,6.196000000000001,,,-2.0,-1.0,4.0,8.3769998550415
AS14.05,2014-03-23,0.0,9.5635,14.628,4.0355,13.806000000000001,,,-2.0,-1.0,4.0,17.440000057220498
AS14.05,2014-03-24,0.0,17.113,26.6875,5.54,14.269,,,-2.0,-1.0,4.0,47.8789999485016
AS14.05,2014-03-25,0.012196747533990929,31.4605,22.48,2.9989999999999997,14.367,,,-1.0,0.0,5.0,17.7460000514984
AS14.05,2014-03-26,0.004424778761061945,30.2795,54.575,2.0585,14.3895,,,0.0,0.0,5.5,62.07500004768371
AS14.05,2014-03-27,0.02206052206052205,10.599,40.137,3.017,14.421,,,-1.0,0.0,6.0,43.4065001010895
AS14.05,2014-03-28,0.004716981132075471,10.207,22.25,2.4530000000000003,14.368500000000001,20.857,,0.0,1.0,6.0,51.0049998760223
AS14.05,2014-03-29,0.0465323814380418,9.572000000000001,11.472999999999999,1.661,11.3875,,,0.0,1.0,6.0,13.46650004386905
AS14.05,2014-03-30,0.0131578947368421,3.13,11.087,2.5309999999999997,12.615,,,-1.0,1.0,6.0,23.8100000619888
AS14.05,2014-03-31,0.0,4.407,8.495000000000001,1.237,5.647,,,0.0,1.0,7.0,8.77600002288818
AS14.05,2014-04-01,0.0456427955133736,7.847,22.836999999999996,2.54,11.1525,20.272000000000002,,0.0,1.0,7.0,8.57599997520447
AS14.05,2014-04-02,0.02390890118863985,6.656499999999999,11.807500000000001,2.0505,8.516,16.592,,0.0,1.0,7.0,15.1210000514984
AS14.05,2014-04-03,0.0,4.013999999999999,12.151500000000002,2.091,9.891,38.634499999999996,,-1.0,1.0,7.0,15.018999814987199
AS14.05,2014-04-04,0.01878306878306875,22.8245,16.063000000000002,2.023,16.715999999999998,57.1875,,-1.0,1.0,7.0,24.5720000267029
AS14.05,2014-04-05,0.0,10.118,9.050999999999998,1.3805,8.084,,,0.5,1.0,7.5,9.86849999427794
AS14.05,2014-04-06,0.0,6.1884999999999994,8.6,2.6384999999999996,8.941,6.0360000000000005,,-1.0,1.0,7.0,8.825000047683721
AS14.05,2014-04-07,0.00833333333333335,9.091999999999999,13.075,2.6175,7.439,,,-0.5,1.0,7.0,20.3294999599457
